('949', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.3596365403882619)
('1799', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.3590801602801822)
('1658', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.3586004973867911)
('949', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.3577864478940559)
('2169', 'd3266ca300a9585e84aedf93b5448e314cc2edc8', 0.3555017347983462)
('949', '1150f45f396a99839fc877c958a74fb05e0d7ded', 0.35525946112946605)
('949', '0f6f19e2d4a4934a95f4dc7d395e6cf51ce4ecf0', 0.3537518280792924)
('2267', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.3519630161221284)
('2576', '26d005ccb1c92bd6af2873aa8d1b27d038f973cc', 0.35140264953157163)
('2037', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.34944372132842233)
('2309', 'a95d2c2e1df48616d5844021cfc576b304b07f80', 0.3490372462244397)
('2304', 'd3266ca300a9585e84aedf93b5448e314cc2edc8', 0.34796612289662876)
('1604', '5e459009565e65cc34493a89294a766d8d49830b', 0.34725052678500523)
('1396', 'a6d0d6eae7406f66b826e99e837ab0a3dfba682d', 0.34612217292658903)
('1775', 'e170df70259df343735a5a1abbcaae8342b352f4', 0.34579790525359283)
('2260', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.34355228793492004)
('1526', 'b3ca3e74b6e073dfb3b19117fdeae75a81a6a5ea', 0.3434268933187516)
('1448', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.34323435144943226)
('949', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.3428444032500054)
('949', 'baab4fede52e7c2b40834cd9788212d4c2a7d4ef', 0.3416545277890238)
('162', '7de7072d09fea20047bb549afceebe7641d912fb', 0.3411147516334429)
