('788', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.7426627115318245)
('5', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7424467945164523)
('497', 'c3e38e50e269adafdd38a48c63a1740cde304c67', 0.7410087378274665)
('497', '73627df082ff499af4ca1c482f79e304905007eb', 0.7409297001950992)
('782', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7408358948985163)
('973', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.7399618794614153)
('126', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.7392106617991462)
('227', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7391380913136771)
('893', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.7390545500192207)
('893', '283956ee93473192052d30c3420a3ce9685cce28', 0.739028120598471)
('641', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.7380736072584824)
('455', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.7365828339637436)
('535', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.736384800931354)
('284', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.7361443697113449)
('162', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.7360915053479841)
('248', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.73584794199818)
('162', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.735789605124239)
('274', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7345009492806073)
('333', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7338236328646933)
('535', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.7332330532498339)
('11', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.7327772935731778)
('497', '67436b2bc4a8e23faabb1555c0d34a2f53e060dc', 0.7327289567167989)
('947', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.7327099880202093)
('973', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7318973170984352)
('528', '863a61d6269e7756c8c797b6409bf28c75604a9a', 0.731017763157351)
('144', 'a6604978ed173c79cfad0f6fb1054d642159bb5f', 0.7304399380193605)
('663', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.7301843750397733)
('890', '1f16310b7d694551f094bed49fb0576effefab3c', 0.728859722064207)
('953', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.728715297899173)
('841', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.7284076975926826)
('742', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 0.7272541489499262)
('177', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7230238069726188)
('756', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.722548235753847)
('231', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7223885183430477)
('208', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7222380228365887)
('5', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7221593648120676)
('618', '77c1c65b83a13ee416009d028e18555ea4b4a032', 0.7209315509467703)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7202045050776211)
('14', 'ecdd619da78831929d53c27c90f15e193a500998', 0.7195714464292763)
('280', '82f8a9fc980dd428eb45c8f66789564632723897', 0.7187062001465777)
('274', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7184742486721011)
('284', '19a56fb77e3e67366382edade55376e7cce80009', 0.7135452130011748)
('9', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7134429835507752)
('135', '4f4b016da3b0b4c25f84897be47fb3e502c1c98b', 0.7129632233674934)
('440', '69170f58df0250e43066e4b56e038fced05f2268', 0.7121977692333208)
('3', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 0.7115757335477013)
('618', '1f16310b7d694551f094bed49fb0576effefab3c', 0.7114674556035827)
('14', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.7114435326384061)
('751', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.7113881839133553)
('449', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7110205681937127)
('14', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.7107039757117312)
